datetime,close,high,low,open,volume,instrument
,114,115.35,113,113.15,5737135,HINDALCO
2014-01-27 00:00:00,.1,112.7,109.3,112,8724577,HINDALCO
2014-01-28 00:00:00,113.8,,109.75,110,4513345,HINDALCO
2014-01-29 00:00:00,111.75,114.75,,114.5,4713458,HINDALCO
2014-01-30 00:00:00,108.1,110.7,107.6,110.2,,HINDALCO
2014-01-31 00:00:00,109.55,110,107,109.05,8287236,
2014-02-03 00:00:00,103.45,109.4,103,109,5572627,HINDALCO
